question,answer,label
コードは自分で作成するという把握でいいですよね？,"そうです
自分で考えたテスト仕様書にそってコードを書いていってください[Name_edf5bd]念のため、作成するプログラムはテストを実行するプログラム(Name_4acc8e.java)とJunitコード(Name_136b47.java)です。",0
"課題7について質問です
レポートの形式はサンプルレポートを元に作成するので，合っていますか？
テスト用プログラム，バグの箇所，JUnitはコピー＆ペーストで行って構いませんか？","サンプルレポートを元に作成であっています。
動画でも述べていますが、プログラムはスクショではなくレポートに書き込んでください。コピペで大丈夫です。[Name_edf5bd]テスト用プログラムは自分で新たに作りますか？[Name_edf5bd]新たに作る必要はありません
Name_1230c0.javaとHarmonoidTest.javaの内容を変更する形で大丈夫です。[Name_edf5bd]わかりました
ありがとうございます",0
課題7のテスト仕様書はサンプルレポートのようなレイアウトでよろしいですか？仕様書サンプルと異なっているのですが…,仕様書サンプルのほうが正しいです．サンプルレポートのものは簡略化しています[Name_edf5bd]ありがとうございます[Name_edf5bd]いえいえ,0
getOctave()のような入力データがいらず戻り値の確認をするテスト種別は何になるのでしょうか？,"授業のPDFのp.10ではいくつかの例が示されています．
そこでは，getOctaveメソッドのテストについて示されています．
setOctaveがあってのgetOctaveなので，例のように分類してはいかがでしょうか．[Name_edf5bd]すみません自分の説明の仕方が悪かったです。
getOctaveメソッドを用いて初期値が正しく設定されているのかを確認するときのテストの種別が何になるのかを教えてもらってもよろしいでしょうか？[Name_edf5bd]それについては，種別が空白で構いません．[Name_edf5bd]網羅テストて書いてもらってもOKです[Name_edf5bd]承知しました。ありがとうございます。
もう一つ質問があるのですが、コンストラクタの引数を空列“”にした場合は正しいと見ても大丈夫でしょうか？[Name_edf5bd]私だったら、空列を受け付けるプログラムはバグとしたいところですが、仕様に書いていないのでバグでないと考えてもOKです[Name_edf5bd]承知しました。ありがとうございます。",0
Harmonoidの名前の設定のテスト項目でコンストラクタにint型を代入しよう思ったのですが，型の不一致で代入が行えないことに気付きました。この場合はString型以外が代入されることを想定できていないので，バグという扱いにすればいいのでしょうか?それともそもそも起こる可能性が0の事例として扱ってもいいのでしょうか?,私なら実行時エラーを予想結果にしてテストしますが、バグ扱いにしてもらってもOKです。[Name_edf5bd]わかりました。ありがとうございます。[Name_edf5bd]いえいえ,0
Harmonoidの名前の設定で同値分割法(無効同値クラス)の場合にはどういう値を入れていいかわかりません。,私なら文字列0の長さにします(仕様上は無効同値クラスか明記されていませが)。[Name_edf5bd]了解です。ありがとうございます。[Name_edf5bd]いえいえ,0
"課題７で質問です
名前の設定でString型が基本だと定義されているが，テストとしてint型などを設定してテストするのはやらなくていいものでしょうか？","そこまでやると面倒だと思うので、課題としてはそこまでしなくて構いません。実際のテストでは、仕様によっては(絶対に実行時エラーを起こしては行けないプログラムなどでは)必要になってきます[Name_edf5bd]わかりました
エラーが出るものは今回はしなくていいということですね[Name_edf5bd]はい、そうなります[Name_edf5bd]ありがとうございます[Name_edf5bd]いえいえ",0
先生の言う，仕様書には全ての例外処理を完全に書いているわけでは無い，というのは例えば，引数があってるときと間違っている時のテスト両方を書かなくて良いということですか？,仕様書が完全に「引数があってるとき」と「間違っている時」を記述していれば、両方のテストを出来ますが、今日の課題の仕様書はそこまで完全に記述されていないので、常識的に考えて間違っているだろう(名前が長さゼロの文字列とか)という時でも、「間違っている時」のテストとして書いて良いかはっきりしません。そういう意味では「両方を書かなくて良い」ですし、時間が有ればそういう仕様書の欠点を分析して、より高度な仕様書とテストを提案すればレポートは高得点になります。(配点と採点基準によりますが、少なくとも良い点になるのは間違いありません)[Name_edf5bd]お返事は、これで良いですか？[Name_edf5bd]はい，大丈夫です[Name_edf5bd]では、スレッドを終了します。,0
"レポートの「テスト仕様書」についてお聞きします。
サンプルで配布されているテスト仕様書の、
「結果」の欄も、各自で実行しその結果を書くんでしょうか？
サンプルで配布されているテスト仕様書には結果の欄は空白になっているのでわからなく。",結果を必ず書いてください[Name_edf5bd]わかりました。[Name_edf5bd]よろしくお願いします,0
クラス名やパッケージ名などのテストはいるのでしょうか,JUnitで可能なのですが、普通のテストでは確認できないのでテストしなくて構いません[Name_edf5bd]わかりました。ありがとうございます[Name_edf5bd]いえいえ,0
